Id,Code,Name,Retired,North Limit,South Limit,West Limit,East Limit
104,aer,Arrernte, Eastern,,-22.726,-23.947,133.669,136.424
106,aew,Ambakich,,-4.018,-4.444,144.18,144.389
107,aey,Amele,,-5.217,-5.354,145.618,145.755
108,aez,Aeka,,-8.79019,-8.79019,148.09,148.09
109,afb,Arabic, Gulf Spoken,,30.934,16.888,41.933,59.837
110,afd,Andai,,-4.96449,-4.96449,143.637,143.637
111,afe,Putukwam,,6.701,6.6,8.794,9.127
113,afi,Akrukay,,-4.856,-4.926,144.785,144.857
114,afk,Nanubae,,-4.71731,-4.71731,143.937,143.937
115,afn,Defaka,,4.626,4.535,7.457,7.546
116,afo,Eloyi,,8.528,7.947,7.753,8.188
117,afp,Tapei,,-4.77763,-4.77763,143.337,143.337
118,afr,Afrikaans,,-18.268,-34.84,16.267,32.016
119,afs,Afro-Seminole Creole,,35.23,28.223,-102.173,-96.493
120,aft,Afitti,,12.53,12.366,30.69,30.833
121,afu,Awutu,,5.752,5.299,-0.725,-0.371
122,afz,Obokuitai,,-2.804,-2.952,137.696,138.152
123,aga,Aguano,,-5.25,-5.25,-75.8333,-75.8333
124,agb,Legbo,,6.072,5.958,7.907,8.061
125,agc,Agatu,,8.336,7.434,7.34,8.092
126,agd,Agarabi,,-6.085,-6.318,145.781,146.053
127,age,Angal,,-5.904,-6.178,143.467,143.717
128,agf,Arguni,,-2.656,-2.67,132.526,132.554
129,agg,Angor,,-3.594,-3.797,141.126,141.272
130,agh,Ngelima,,2.268,0.966,23.775,25.975
131,agi,Agariya,,24.619,24.369,81.975,82.619
132,agj,Argobba,,10.84,9.469,39.612,40.232
133,agk,Agta, Isarog,,13.689,13.614,123.27,123.395
134,agl,Fembe,,-5.561,-5.83,142.121,142.387
135,agm,Angaataha,,-7.1,-7.301,146.118,146.586
136,agn,Agutaynen,,11.453,10.443,119.595,120.987
137,ago,Tainae,,-7.22,-7.586,145.551,145.813
138,agq,Aghem,,6.469,6.306,10.005,10.156
139,agr,Aguaruna,,-4.456,-6.154,-79.219,-76.625
140,ags,Esimbi,,6.734,6.311,9.71,10.029
141,agt,Agta, Central Cagayan,,18.044,17.888,121.757,121.957
142,agu,Awakateko,,15.401,15.274,-91.435,-91.195
143,agv,Dumagat, Remontado,,14.897,14.434,121.28,121.626
144,agw,Kahua,,-10.471,-10.821,162.082,162.299
145,agx,Aghul,,42.161,41.756,47.265,47.903
146,agy,Alta, Southern,,15.243,15.137,120.988,121.121
147,agz,Agta, Mt. Iriga,,13.519,13.391,123.4,123.525
148,aha,Ahanta,,4.984,4.737,-2.168,-1.725
149,ahb,Axamb,,-16.445,-16.559,167.641,167.786
150,ahg,Qimant,,12.932,12.69,36.78,37.329
151,ahh,Aghu,,-6.071,-6.63,139.741,140.345
152,ahi,Aizi, Tiagbamrin,,5.314,5.229,-4.707,-4.56
153,ahk,Akha,,22.35,19.713,99.532,102.702
154,ahl,Igo,,7.306,7.175,0.623,0.734
155,ahm,Aizi, Mobumrin,,5.276,5.255,-4.494,-4.452
156,ahn,Àhàn,,7.478,7.408,5.947,6.071
157,aho,Ahom,,27.2778,27.2778,88.464,88.464
158,ahp,Aizi, Aproumu,,5.249,5.156,-4.741,-4.303
159,ahr,Ahirani,,21.552,21.552,73.685,73.685
160,ahs,Ashe,,9.415,9.299,7.291,7.498
161,aht,Ahtena,,62.74,60.684,-145.86,-143.918
162,aia,Arosi,,-10.145,-10.404,161.267,161.596
163,aib,Ainu,,39.309,37.21,76.148,79.721
164,aic,Ainbai,,-3.072,-3.112,141.116,141.182
165,aid,Alngith,,-12.477,-12.617,141.818,142.058
166,aie,Amara,,-5.477,-5.585,148.561,148.799
167,aif,Agi,,-3.451,-3.528,142.352,142.421
168,aig,Antigua and Barbuda Creole English,,18.613,15.525,-63.435,-61.293
169,aih,Ai-Cham,,25.555,25.418,107.779,107.908
170,aii,Assyrian Neo-Aramaic,,37.728,36.142,40.698,45.371
171,aij,Lishanid Noshan,,32.4578,32.4578,35.5113,35.5113
172,aik,Ake,,8.64,8.534,8.679,8.836
173,ail,Aimele,,-6.558,-6.816,142.515,142.796
174,aim,Aimol,,27.157,24.538,87.984,94.447
175,aio,Aiton,,26.5145,26.5145,92.3169,92.3169
176,aip,Burumakok,,-4.992,-5.17,139.802,140.258
177,aiq,Aimaq,,35.301,33.372,63.377,65.866
178,air,Airoran,,-1.634,-2.076,137.992,138.323
179,ais,Amis, Nataoran,,23.94,23.937,121.588,121.592
180,ait,Arikem,,-8.924,-8.924,-63.742,-63.742
181,aiw,Aari,,5.95034,5.95034,36.5721,36.5721
182,aix,Aighon,,-5.711,-6.251,150.074,150.471
183,aiy,Ali,,4.842,4.216,17.547,18.523
184,aja,Aja,,8.678,8.481,25.577,25.647
185,aji,Ajië,,-21.12,-21.576,165.107,165.828
186,ajp,Arabic, South Levantine Spoken,,32.98,29.345,34.22,36.61
187,ajt,Arabic, Judeo-Tunisian,,31.75,31.75,35.25,35.25
188,aju,Arabic, Judeo-Moroccan,,33.641,33.503,-7.719,-7.523
189,ajw,Ajawa,,10.21,10.21,9.89205,9.89205
190,ajz,Amri Karbi,,26.024,26.024,91.482,91.482
191,aka,Akan,,7.793,4.926,-2.859,0.624
192,akb,Batak Angkola,,2.47,1.1,98.891,100.314
193,akc,Mpur,,-0.482,-1.024,132.907,133.425
194,akd,Ukpet-Ehom,,5.668,5.485,8.014,8.187
195,ake,Ingarikó,,7.001,4.879,-61.812,-59.901
196,akf,Akpa,,7.478,7.166,7.887,8.146
197,akg,Anakalangu,,-9.488,-9.809,119.477,119.732
198,akh,Angal Heneng,,-6.007,-6.265,143.352,143.604
199,aki,Aiome,,-5.039,-5.223,144.656,144.874
200,akj,Aka-Jeru,,13.1525,13.1525,92.9504,92.9504
201,akl,Inakeanon,,11.942,11.33,121.849,122.621
202,akm,Aka-Bo,,12.3629,12.3629,92.8011,92.8011
203,ako,Akurio,,3.226,3.17,-55.689,-55.57
204,akp,Siwu,,7.284,7.134,0.326,0.561
205,akq,Ak,,-3.53,-3.614,141.754,141.814
206,akr,Araki,,-15.624,-15.64,166.933,166.952
207,aks,Akaselem,,9.123,8.666,1.193,1.547
208,akt,Akolet,,-6.203,-6.31,149.999,150.333
209,aku,Akum,,6.908,6.809,9.897,10.035
210,akv,Akhvakh,,42.57,42.226,46.124,46.484
211,akw,Akwa,,0.35,-0.574,14.757,16.168
212,akx,Aka-Kede,,12.8494,12.8494,92.8227,92.8227
213,aky,Aka-Kol,,12.7325,12.7325,92.7866,92.7866
214,akz,Alabama,,30.836,30.716,-94.729,-94.528
215,ala,Alago,,8.491,8.234,8.132,8.91
216,alc,Qawasqar,,-49.598,-49.909,-75.6,-75.151
217,ald,Alladian,,5.296,5.144,-4.84,-4.013
218,ale,Aleut,,57.247,52.013,-174.646,166.678
219,alf,Alege,,6.626,6.548,8.916,9.092
220,alh,Alawa,,-14.887,-16.169,133.454,135.109
221,ali,Amaimon,,-5.06,-5.323,145.207,145.53
222,alj,Alangan,,13.261,12.875,120.801,121.243
223,alk,Alak,,15.612,15.508,106.533,106.662
224,all,Allar,,11.15,11.016,76.596,76.722
225,alm,Amblong,,-15.447,-15.555,166.865,167.035
226,aln,Albanian, Gheg,,43.135,40.884,19.282,21.672
227,alo,Larike-Wakasihu,,-3.703,-3.789,127.905,128.007
228,alp,Alune,,-2.853,-3.367,128.191,128.597
229,alq,Algonquin,,48.668,45.411,-79.586,-75.931
230,alr,Alutor,,61.202,59.187,160.934,166.391
231,als,Albanian, Tosk,,41.169,39.644,19.276,21.531
232,alt,Altai, Southern,,52.075,49.083,84.002,89.739
233,alu,'Are'are,,-9.019,-9.903,160.712,161.449
234,alw,Alaba-K'abeena,,8.533,7.199,37.341,38.319
235,alx,Amol,,-3.445,-3.494,142.505,142.559
236,aly,Alyawarr,,-19.583,-22.805,134.109,139.561
