dse	52.1251	4.91133
dsl	55.8257	12.3187
dso	18.965	82.646
dti	14.6669	-3.1168
dtu	14.66	-3.1
duh	22.306	73.187
duy	17.8846	121.606
duz	9.11241	13.4232
dwr	6.57645	37.1381
dyg	17.471	120.638
dym	14.63	-3.15
ecs	-1.24999	-79.1666
egl	44.3536	11.5794
elp	-3.078	128.263
emo	-24.9202	-57.8892
enu	22.95	101.85
enw	4.68739	8.20974
epo	49.3273	2.81045
esh	35.7267	50.3677
esl	29.567	29.654
esn	13.7024	-89.5988
eso	58.947	24.566
esq	36.5473	-121.867
est	59.5478	22.8209
eth	8.9761	38.8534
eto	4.21045	11.3935
eyo	0.510857	35.226745
fah	7.38023	10.7684
fan	1.72397	11.6145
fay	29.746	52.267
faz	29.643	52.925
fcs	45.9965	-74.8719
fil	12.265	123.464
fly	-25.8633	27.4955
fng	-25.384842	27.14008333
fos	22.9777	120.315
frk	52.896	9.98388
fry	53.143	5.86091
fse	60.661	25.0677
fsl	47	3
fss	62.111	26.328
fui	8.81656	18.3467
gau	18.276	83.378
gce	45.3914	-120.75
gct	10.4853	-67.2579
gda	25.8583	78.2187
gdx	24.885	72.846
geh	40	-97
gez	10.1342	40.6821
ggg	25.737	68.565
ggk	-12.7	130.881
ggr	-13.735	142.426
ghc	55.932	-5.222
gho	34.7979	-4.6696
ghr	25.383	68.368
gib	12.584	8.615
gic	-28.77	26.895
gig	27.253	68.363
gip	-6.02464	149.478
giu	26.574605	107.239537
gko	-16.181	141.608
gli	-8.10266	157.564
glu	10.3049	19.2182
glv	54.2604	-4.45437
gly	11.8336	33.6929
gmm	4.70037	14.9569
gmv	6.57645	37.1381
gne	9.93195	9.09741
gnl	-22.7637	149.416
gnr	-25.3893	151.175
gnz	6.544	19.347
gof	6.57645	37.1381
goz	36.4133	50.6987
gpe	5.793241	-0.283641
gqn	-19.1667	-54.0333
gqu	26.155438	106.16455
grc	39.8155	21.9129
gse	5.55225	-0.30274
gsg	50.8154	7.30478
gsm	14.5034	-90.5667
gso	4.70037	14.9569
gss	38.0536	23.3762
gug	-25.6055	-57.0882
gus	9.553	-13.674
guv	9.37513	13.5809
gva	-21.9803	-58.0654
gvy	-34.739	137.661
gyl	5.95034	36.5721
hbo	31.7761	35.1725
hca	11.676	92.738
hds	14.622	-87.224
hib	-6.58333	-77.7
hif	-17.8148	177.772
hig	10.646	13.5136
hii	31.016	77.144
hji	-5.07781	104.714
hkk	-8.79019	148.09
hle	24.4	101.4
hlt	23.312	92.83
hnj	22.5638	101.95
hns	7.67349	-58.5697
hod	9.96843	13.1995
hom	4.97912	28.0039
hor	9.239	18.378
hps	21.6311	-158.002
hrm	22.5638	101.95
hrr	-3.12875	129.387
hrt	37.373	42.5192
hsh	47.122	19.264
hsl	8.486	7.168
huy	31.9111	43.4865
hvc	18.911	-72.394
icl	64.1731	-20.2731
iff	-18.7668	169.007
ihb	-2.935	132.294
ili	44.0089	80.4957
ind	-7.33458	109.716
inl	-7.908	112.378
ins	27.5186	79.6787
inz	34.6169	-120.08
iow	40.0511	-95.5213
ise	42.7291	12.4295
isg	53.315	-6.36541
isr	31.5279	34.7637
ist	45.088	13.64
ite	-12.2994	-64.9841
itk	43.1284	11.4723
iyx	-3.73301	13.3637
izr	9.93195	9.09741
jat	48.616	37.3
jbk	-7.09739	143.99279
jcs	17.9997	-76.9321
jct	39.8412	66.3805
jda	30.241	79.153
jgb	3.60447	27.6529
jge	31.5	34.75
jih	32.225	102.63
jiy	22	101.08
jkr	26.6	92.8
jmi	10.7299	9.8118
jmn	26.2072	95.1618
jnd	25.617	69.76
jng	-14.4964	132.52
jor	-15.7492	-63.2094
jos	31.8202	36.0829
jpr	31.4507	43.5715
jsl	36.0221	139.079
juc	47	130
jut	54.911	9.38924
jvn	5.62695	-54.6305
jye	15	45
kae	25.0257	121.425
kaf	24.6	102.4
kba	-31.7154	118.911
kbf	-39.0488	-72.3228
kbg	28.731	95.236
kbi	-2.38121	139.975
kcm	9.49092	23.3805
kda	-32.4806	152.107
keh	-3.98708	143.174
kel	-1.39085	24.0051
key	16.4708	79.5153
kfj	22.0603	101.144
kfm	36.6963	49.3742
kfv	26.9175	87.3205
kgg	29.1766	80.6309
kgi	3.13489	101.614
kgm	-2.92	-52.42
kgn	38.5656	47.4329
kii	31.83	-96.5
kix	26.2072	95.1618
kjo	31.784	77.064
kju	38.5424	-123.08
kkf	27.7686	92.1838
kle	27.1606	87.5717
kmf	-5.07674	145.499
kmi	8.57444	6.66088
kmj	24.1217	87.2699
kmm	24.8688	94.534
kna	10.072	12.0256
kno	8.67039	-10.9214
knu	7.85002	-8.25793
koc	7.70605	10.1129
kof	10.6274	10.2746
kol	-5.21042	151.583
koq	0.077515	14.3796
kox	6.08332	-72.0833
kpb	11.29	76.7
kpn	-11.663	-61.246
kqh	-8.5411	35.6751
kqu	-33.0386	22.0021
kqz	-30.4207	19.7711
krf	-14.2943	167.467
ksh	50.947	6.927
ksu	26.8895	93.9932
ksy	22.245	83.799
ktg	-21	139.5
ktk	-1.51777	145.086
ktl	29.441	53.008
ktq	17.9509	121.544
ktu	-2.29601	17.1548
ktw	39.7002	-123.432
kuz	-23	-69
kvk	37.4718	127.609
kvt	20.1797	97.3791
kwz	-15.8745	12.1147
kxe	10.8119	5.58853
kxh	5.2101	36.1709
kxo	-12.1789	-64.5812
kxr	-2.03429	147.143
kxs	35.043	101.254
kxu	19.2043	83.5859
kyn	9.992	122.816
kyw	25.92	87.33
kzk	-8.23886	157.687
kzw	-9.84999	-36.3333
kzy	1.59855	27.0186
lap	7.78997	16.0193
lat	41.9026	12.4502
lav	56.826108	24.309118
lay	27.6237	98.4694
laz	-6.72266	146.991
lbg	20.7809	100.079
lbm	20.8954	84.9463
lbs	29.512	17.573
ldg	6.00131	8.28951
ldq	7.25555	10.9499
leo	4.57457	11.405
leu	-2.81957	151.111
lhh	-3.70755	128.073
lhi	21.2078	100.97
lhl	32.583	77
lhs	37.0311	41.2209
lin	1.40324	19.7829
lkc	21.2078	100.97
lkd	-13.2396	-59.9925
lks	0.1529	34.5708
llc	8.98043	-10.371
lle	-2.04783	147.207
llf	-1.52891	145.075
llh	25.8	100.15
lln	9.158	15.8115
lls	55.2487	23.8814
lmz	35.6171	-78.4531
lnb	-19.593	16.617
lnj	-20	145
lno	4.04948	33.0412
loi	9.40172	-3.47051
lom	7.91585	-9.69906
